ss	seed	unique	Min Helix	Generation
............((((((((...((((........(((.((((........))).)...)))........))))....)))....)))))...........(((((....(((((((....))))))).....))))).((......)).	linearbp	920	1	MFE
.(((..((.....((((((((((((..............((((((.......).)))))(((((........)))))))))))))).........)))......))..)))...............((((((..........))))))..	linearbp	823	1	MFE
(((((((((.......)))))).)))....(((((.((.((((((((.((.....((((((.(...((((...(.(((....))).).))))...).))))))...))))).........)))))))...)))))...............	linearbp	0	1	MFE
.(((...(((...(((((((..((.(.((....)).))).))))))).)))...))).........((((((((((.(((......)))..((((((((............))))))))))))))))))(((((....)).)))......	linearbp	815	1	MFE
..........((((...((..((((((.((.((.(.(....).).............(.((((((........)))))).)..))))))))))..))..............(((((..((((((....))))))..))))).....))))	linearbp	0	1	MFE
(((((((.(((((........))))).))))).))..(((((......(((..(((((....(((.((((.((...(.((((....)))).)...)).)))).)))))))))))..((((.(..((((.....))))..).)))))))))	linearbp	0	1	MFE
.......(((((((((.((((.((((......(((.(((....))))))......)))).)))))))))))))..((.((.(..(((((((...(((((((...)))))))...))).))))..).))))(((((.........))))).	linearbp	1317	1	MFE
.........(((((((((..(((((((.((.....))...))))))).)))))))))((((((.(((((....(((.(.(((....((((...))))....))).).)))....)))))..((((........)))))))))).......	linearbp	1757	1	MFE
...........(.(((((...((.((.....(((..((((.......)))))))((((...........(((((.....((((.......((....)).......)))).....)))))...........)))))).))..))))).)..	linearbp	0	1	MFE
.((((......)))).((((((.......(((((.(.....).)))))........))))))..((((((((.((((..((((.(.((((...)))).).))))...........((((((...))))))....))))))))))))....	linearbp	417	1	MFE
((((.((.....((.((((((((....).))))))).))....)).)))).((((.......)))).......((((........))))....(((.....((((..........((((..........))))))))....)))......	linearbp	295	1	MFE
((((.((((((.((.....(((((((.(((....((((((.....)))).)))))))))))).....)).))).....))).)))).((((((.((((((((((.(..((((((......).)))))..).)).)))))))).))).)))	linearbp	265	1	MFE
..(((((.............((((.(((......(((..((((.(..........).)))))))......))).))))...(((((((.....)))))))((((((.((((......))))...))))))...)))))............	linearbp	0	1	MFE
(((..((((((((((((((.....((..(((((.....((...((((..((.(((........))))).)))).)))))))..))...))))))))))...))))....))).(.((.(((((............))))))).)......	linearbp	0	1	MFE
...((((....))))..(((((((((((........)))))))))))((.(((((.(((.(......).))).)))..)).))........((((((.(((((.((............)).)))...............)).))))))..	linearbp	434	1	MFE
....((((((..(((..........((((((......))))))))).)))))).....(((.(((..(((((.....((((((...((..((((..(....)..))))..))..))))))....)))))...))))))............	linearbp	0	1	MFE
.......((((((...(((.....(((((....))))).....)))(((((....).)))).((.(((((((((...((........))...)))))...))))))(((......)))((((((.(.....).))))))...))))))..	linearbp	88	1	MFE
..............(((((((((..((((..(..(((........))).(((((..(((((...)))))...)))))....((((((....)))))))..))))...)))))))))..(((((................)))))......	linearbp	0	1	MFE
...(((((....))))).((((((.(.(((((((.((.....))............((((((((....((((.(((((..((((......))))......))))))))).....))))..))))))))))).)))))))...........	linearbp	1193	1	MFE
.........((.((((.(((((.((.((((.......(((((.((((((...........((.((((((..(((..((((....))))..))).)))))).)))))))).).)))))))).(((....)))...)))).))).)))).))	linearbp	308	1	MFE
..(((((((..(((..(((..((((((((......))))))))...)))))))))))))(((.(.((........)).).)))(((((((.(((.....((.((((((...........)))))))).))))))))))............	linearbp	1345	1	MFE
..............((((...(.(((((..(((..((((((.(((.(((.(...(((((........)))))....).))).)))..)))))))))))))).).))))(((....(((((..((.....))..)))))..))).......	linearbp	0	1	MFE
